id	nome	login	id_ativo	id_sexo
1	Maria 100	1-Maria110	0	0
2	Jo‹o 2	2-Jo‹o2	1	1
3	Maria 3	3-Maria3	1	0
4	Jo‹o 4	4-Maria4	0	1
5	Jo‹o 5	5-Maria5	1	1
6	Maria 6	6-Jo‹o6	1	0
7	Jo‹o 7	7-Jo‹o7	1	1
8	Maria 8	8-Maria8	1	0
9	Maria 9	9-Jo‹o9	0	0
10	Jo‹o 10	10-Maria10	1	1
11	Maria 11	11-Maria11	1	0
12	Maria 12	12-Maria12	1	0
13	Jo‹o 13	13-Maria13	1	1
14	Maria 14	14-Jo‹o14	1	0
15	Maria 15	15-Jo‹o15	1	0
16	Jo‹o 16	16-Maria16	0	1
17	Jo‹o 17	17-Maria17	0	1
18	Maria 18	18-Maria18	0	0
19	Jo‹o 19	19-Maria19	1	1
20	Maria 20	20-Jo‹o20	0	0
21	Maria 21	21-Jo‹o21	0	0
22	Jo‹o 22	22-Jo‹o22	0	1
23	Maria 23	23-Jo‹o23	0	0
24	Maria 24	24-Maria24	1	0
25	Jo‹o 25	25-Jo‹o25	0	1
26	Maria 26	26-Maria26	1	0
27	Maria 27	27-Maria27	1	0
28	Maria 28	28-Jo‹o28	0	0
29	Jo‹o 29	29-Maria29	0	1
30	Jo‹o 30	30-Jo‹o30	0	1
31	Maria 31	31-Jo‹o31	1	0
32	Jo‹o 32	32-Jo‹o32	0	1
33	Jo‹o 33	33-Maria33	1	1
34	Maria 34	34-Jo‹o34	0	0
35	Maria 35	35-Maria35	0	0
36	Jo‹o 36	36-Jo‹o36	1	1
37	Maria 37	37-Maria37	0	0
38	Maria 38	38-Jo‹o38	1	0
39	Jo‹o 39	39-Maria39	0	1
40	Maria 40	40-Jo‹o40	0	0
41	Maria 41	41-Maria41	1	0
42	Jo‹o 42	42-Jo‹o42	0	1
43	Jo‹o 43	43-Jo‹o43	0	1
44	Maria 44	44-Maria44	0	0
45	Maria 45	45-Maria45	0	0
46	Maria 46	46-Jo‹o46	1	0
47	Jo‹o 47	47-Maria47	1	1
48	Maria 48	48-Maria48	1	0
49	Jo‹o 49	49-Jo‹o49	1	1
50	Jo‹o 50	50-Jo‹o50	0	1
51	Maria 51	51-Jo‹o51	1	0
52	Jo‹o 52	52-Jo‹o52	1	1
53	Jo‹o 53	53-Jo‹o53	1	1
54	Jo‹o 54	54-Maria54	0	1
55	Maria 55	55-Maria55	1	0
56	Maria 56	56-Maria56	1	0
57	Jo‹o 57	57-Jo‹o57	0	1
58	Jo‹o 58	58-Jo‹o58	0	1
59	Jo‹o 59	59-Jo‹o59	0	1
60	Maria 60	60-Maria60	0	0
61	Maria 61	61-Maria61	0	0
62	Jo‹o 62	62-Jo‹o62	1	1
63	Maria 63	63-Jo‹o63	1	0
