id	id_atividade	nota1	nota2	nota3	nota4	nota_final
1	131043	7	8	1	0	0
2	189	9	5	7	5	10
3	100541	4	2	1	8	10
4	41548	6	9	3	8	10
5	2193	0	4	3	6	10
6	73031	1	1	6	9	10
7	106026	8	0	9	2	10
8	27428	4	5	2	4	10
9	64745	6	6	7	7	10
10	54542	4	5	8	5	10
11	121117	2	4	5	4	10
12	39983	0	6	5	1	10
13	117989	4	1	6	8	10
14	28829	7	0	0	2	10
15	72096	2	6	8	1	10
16	145698	5	9	0	7	10
17	49343	9	3	2	1	10
18	123849	0	5	6	1	10
19	109811	2	6	4	9	10
20	48055	6	2	9	4	10
21	1027	1	1	2	1	10
22	69487	3	4	2	3	10
23	96228	8	0	1	4	10
24	64527	8	3	9	4	10
25	23049	2	0	6	4	10
26	88743	6	2	5	6	10
27	138384	9	3	7	5	10
28	131512	0	9	2	5	10
29	69601	7	0	8	9	10
30	65958	9	7	3	7	10
31	29900	3	9	7	0	0
32	24390	6	3	3	7	10
33	93929	1	4	6	7	10
34	11047	8	2	1	3	10
35	8153	8	4	0	9	10
36	98478	7	1	3	9	10
37	136197	7	1	5	2	10
38	59939	5	2	0	5	10
39	128159	9	6	0	1	10
40	74945	0	2	5	4	10
41	3733	6	7	7	8	10
42	35543	9	3	2	2	10
43	127154	2	7	3	3	10
44	57083	2	5	2	9	10
45	47619	5	1	9	8	10
46	26437	9	0	1	7	10
47	141824	5	7	1	0	0
48	126243	5	7	5	0	0
49	52768	6	0	4	1	10
50	141560	2	8	0	9	10
51	126826	3	2	4	3	10
52	136028	6	0	2	4	10
53	148671	2	1	5	2	10
54	28037	7	2	7	4	10
55	107470	9	3	4	6	10
56	71920	1	3	4	4	10
57	128673	6	8	5	7	10
58	45054	0	6	3	0	0
59	32324	8	3	3	4	10
60	95681	3	3	0	1	10
61	52996	6	7	2	6	10
62	93824	6	2	7	1	10
63	117990	6	3	8	4	10
64	131223	4	2	8	9	10
65	60973	2	2	7	1	10
66	110119	4	5	3	7	10
67	147573	0	4	7	6	10
68	100845	5	9	1	0	0
69	113195	4	8	2	8	10
70	148434	4	3	1	7	10
71	140874	4	5	0	5	10
72	70899	1	0	6	9	10
73	54931	7	6	4	9	10
74	140445	4	2	6	6	10
75	7910	1	0	0	2	10
76	106512	0	1	7	4	10
77	62399	1	4	1	6	10
78	107250	9	1	6	1	10
79	7720	4	0	8	9	10
80	50120	4	7	7	4	10
81	84593	0	2	6	4	10
82	84227	0	8	6	0	0
83	88341	5	8	4	0	0
84	117047	0	1	1	2	10
85	107825	4	8	3	3	10
86	7629	0	8	7	5	10
87	88058	2	1	4	8	10
88	58096	0	1	1	7	10
89	117236	9	0	7	6	10
90	132115	5	7	0	8	10
91	88337	0	2	3	4	10
92	6245	2	7	5	5	10
93	61265	7	1	3	5	10
94	72768	4	1	1	7	10
95	139861	8	6	8	6	10
96	107122	3	2	8	1	10
97	15026	5	2	2	1	10
98	52495	1	9	4	0	0
99	126531	8	4	8	3	10
100	59574	8	6	0	6	10
101	63754	4	1	6	8	10
102	82885	9	0	6	8	10
103	94578	4	4	8	1	10
104	7702	8	8	6	6	10
105	60188	9	9	6	6	10
106	31832	8	9	2	7	10
107	64672	2	1	5	7	10
108	1573	0	4	9	9	10
109	59823	7	1	4	6	10
